Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

,SN: 2130269553,SN: 2130269553
,SB 4000TL-21,SB 4000TL-21
,2130269553,2130269553
,Total yield,Power
,Counter,Analog
dd/MM/yyyy hh:mm,kWh,kW
23/10/2019 12:00 AM,24083.853,0.000
23/10/2019 12:05 AM,24083.853,0.000
23/10/2019 12:10 AM,24083.853,0.000
23/10/2019 12:15 AM,24083.853,0.000
23/10/2019 12:20 AM,24083.853,0.000
23/10/2019 12:25 AM,24083.853,0.000
23/10/2019 12:30 AM,24083.853,0.000
23/10/2019 12:35 AM,24083.853,0.000
23/10/2019 12:40 AM,24083.853,0.000
23/10/2019 12:45 AM,24083.853,0.000
23/10/2019 12:50 AM,24083.853,0.000
23/10/2019 12:55 AM,24083.853,0.000
23/10/2019 01:00 AM,24083.853,0.000
23/10/2019 01:05 AM,24083.853,0.000
23/10/2019 01:10 AM,24083.853,0.000
23/10/2019 01:15 AM,24083.853,0.000
23/10/2019 01:20 AM,24083.853,0.000
23/10/2019 01:25 AM,24083.853,0.000
23/10/2019 01:30 AM,24083.853,0.000
23/10/2019 01:35 AM,24083.853,0.000
23/10/2019 01:40 AM,24083.853,0.000
23/10/2019 01:45 AM,24083.853,0.000
23/10/2019 01:50 AM,24083.853,0.000
23/10/2019 01:55 AM,24083.853,0.000
23/10/2019 02:00 AM,24083.853,0.000
23/10/2019 02:05 AM,24083.853,0.000
23/10/2019 02:10 AM,24083.853,0.000
23/10/2019 02:15 AM,24083.853,0.000
23/10/2019 02:20 AM,24083.853,0.000
23/10/2019 02:25 AM,24083.853,0.000
23/10/2019 02:30 AM,24083.853,0.000
23/10/2019 02:35 AM,24083.853,0.000
23/10/2019 02:40 AM,24083.853,0.000
23/10/2019 02:45 AM,24083.853,0.000
23/10/2019 02:50 AM,24083.853,0.000
23/10/2019 02:55 AM,24083.853,0.000
23/10/2019 03:00 AM,24083.853,0.000
23/10/2019 03:05 AM,24083.853,0.000
23/10/2019 03:10 AM,24083.853,0.000
23/10/2019 03:15 AM,24083.853,0.000
23/10/2019 03:20 AM,24083.853,0.000
23/10/2019 03:25 AM,24083.853,0.000
23/10/2019 03:30 AM,24083.853,0.000
23/10/2019 03:35 AM,24083.853,0.000
23/10/2019 03:40 AM,24083.853,0.000
23/10/2019 03:45 AM,24083.853,0.000
23/10/2019 03:50 AM,24083.853,0.000
23/10/2019 03:55 AM,24083.853,0.000
23/10/2019 04:00 AM,24083.853,0.000
23/10/2019 04:05 AM,24083.853,0.000
23/10/2019 04:10 AM,24083.853,0.000
23/10/2019 04:15 AM,24083.853,0.000
23/10/2019 04:20 AM,24083.853,0.000
23/10/2019 04:25 AM,24083.853,0.000
23/10/2019 04:30 AM,24083.853,0.000
23/10/2019 04:35 AM,24083.853,0.000
23/10/2019 04:40 AM,24083.853,0.000
23/10/2019 04:45 AM,24083.853,0.000
23/10/2019 04:50 AM,24083.853,0.000
23/10/2019 04:55 AM,24083.853,0.000
23/10/2019 05:00 AM,24083.853,0.000
23/10/2019 05:05 AM,24083.853,0.000
23/10/2019 05:10 AM,24083.853,0.000
23/10/2019 05:15 AM,24083.853,0.000
